citymuni,province,shortregion,longregion,citymuni.class,citymuni.code,citymuni.capital,citymuni.incomeclass,land.area,map.lat,map.lon,registered.voters.2010,population.2010,poverty.2003,poverty.2012,banks.total,banks.headoffice,banks.regbranch,banks.microbranch,banks.totalbranches,banks.extensionoffice,banks.regularobo,banks.microobo,banks.obosubbranch,banks.oboagency,banks.representativeoffice,banks.remittancedeskoffice,banks.limitedpurposebranch,banks.marketingoffice
City Of Mati ,Davao Oriental,XI,Region XI (Davao Region),city,112509000,1,5th,58863,6.9437633,126.2467484,55764,126143,0.3214,0.27,14,1,9,0,9,1,2,1,0,0,0,0,0,0
City Of Meycauayan,Bulacan,III,Region III (Central Luzon),city,31412000,0,3rd,3210,14.7498856,120.9739288,128042,199154,0.0797,0.0171,33,2,29,0,29,1,1,0,0,0,0,0,0,0
City Of Muntinlupa,Metro Manila,NCR,National Capital Region,city,137603000,0,1st,3975,14.4081327,121.0414667,242842,459941,0.0398,0.0189,109,2,105,0,105,0,2,0,0,0,0,0,0,0
City Of Naga,Cebu,VII,Region VII (Central Visayas),city,72234000,0,-,10197,10.211,123.758,49128,101571,0.1956,0.1723,5,0,4,0,4,0,1,0,0,0,0,0,0,0
City Of Navotas,Metro Manila,NCR,National Capital Region,city,137503000,0,2nd,894,14.6714904,120.9398467,126659,249131,0.0741,0.06,23,0,22,0,22,1,0,0,0,0,0,0,0,0
City Of Panabo,Davao Del Norte,XI,Region XI (Davao Region),city,112315000,0,3rd,25123,7.3087068,125.6841178,89860,174364,0.2274,0.1658,19,0,14,0,14,0,2,3,0,0,0,0,0,0
City Of Paranaque,Metro Manila,NCR,National Capital Region,city,137604000,0,1st,4657,14.4793095,121.0198229,271942,588126,0.0203,0.0113,157,1,153,1,154,0,2,0,0,0,0,0,0,0
City Of Pasig,Metro Manila,NCR,National Capital Region,city,137403000,0,1st,4846,14.5763768,121.0851097,368652,669773,0.0362,0.0183,229,9,208,3,211,3,6,0,0,0,0,0,0,0
City Of Passi,Iloilo,VI,Region VI (Western Visayas) ,city,63035000,0,4th,25139,11.1,122.633333,45118,79663,0.4107,0.2512,11,0,7,1,8,1,1,1,0,0,0,0,0,0
City Of San Fernando,La Union,I,Region I (Ilocos Region),city,13314000,1,3rd,10272,16.616667,120.316667,65100,285912,0.1447,0.0716,40,2,34,0,34,1,3,0,0,0,0,0,0,0
City Of San Fernando,Pampanga,III,Region III (Central Luzon),city,35416000,1,1st,6774,15.0593937,120.6567054,122547,285912,0.0655,0.0249,84,3,75,0,75,2,3,1,0,0,0,0,0,0
City Of San Jose Del Monte,Bulacan,III,Region III (Central Luzon),city,31420000,0,1st,10553,14.813889,121.045278,204515,454553,0.0861,0.0514,21,1,19,1,20,0,0,0,0,0,0,0,0,0
City Of San Juan,Metro Manila,NCR,National Capital Region,city,137405000,0,1st,595,14.5994146,121.0368893,77047,121430,0.015,0.0028,99,1,93,1,94,0,4,0,0,0,0,0,0,0
City Of San Pedro,Laguna,IV - A,Region IV-A (CALABARZON),city,43425000,0,-,2405,14.364722,121.055556,139744,294310,0.0143,0.0104,35,4,29,0,29,0,0,2,0,0,0,0,0,0
City Of Santa Rosa,Laguna,IV - A,Region IV-A (CALABARZON),city,43428000,0,1st,5484,14.2843023,121.0888928,144563,284670,0.0194,0.0191,70,3,61,0,61,3,1,2,0,0,0,0,0,0
City Of Santiago,Isabela,II,Region II (Cagayan Valley),city,23135000,0,1st,25550,16.7149832,121.5537152,77674,132804,0.1167,0.1498,36,0,33,0,33,1,2,0,0,0,0,0,0,0
City Of Sipalay,Negros Occidental,VI,Region VI (Western Visayas) ,city,64527000,0,4th,37978,9.75,122.4,34542,67403,0.4384,0.2914,2,0,2,0,2,0,0,0,0,0,0,0,0,0
City Of Sorsogon ,Sorsogon,V,Region V (Bicol Region),city,56216000,1,3rd,27611,12.9927095,124.0147464,78061,155144,0.3511,0.1951,23,0,17,1,18,1,3,1,0,0,0,0,0,0
City Of Tabaco,Albay,V,Region V (Bicol Region),city,50517000,0,4th,11714,13.3240963,123.645139,71006,125083,0.2165,0.2378,15,0,11,0,11,0,2,2,0,0,0,0,0,0
City Of Tabuk ,Kalinga,CAR,Cordillera Administrative Region (CAR) ,city,143213000,1,5th,70025,17.4117354,121.4384498,47410,103912,0.2811,0.0879,6,1,5,0,5,0,0,0,0,0,0,0,0,0
City Of Tacurong,Sultan Kudarat,XII,Region XII (SOCCSKSARGEN),city,126511000,0,4th,15340,6.6879658,124.6787735,53306,89188,0.1589,0.2215,14,0,10,0,10,0,3,1,0,0,0,0,0,0
City Of Tagum ,Davao Del Norte,XI,Region XI (Davao Region),city,112319000,1,1st,19580,7.448212,125.8094242,110206,242801,0.1542,0.1377,32,1,28,0,28,0,3,0,0,0,0,0,0,0
City Of Talisay,Cebu,VII,Region VII (Central Visayas),city,72250000,0,3rd,3987,10.243889,123.833333,94156,200772,0.0851,0.1065,24,2,20,0,20,1,1,0,0,0,0,0,0,0
City Of Talisay,Negros Occidental,VI,Region VI (Western Visayas) ,city,64528000,0,4th,20118,10.733333,122.966667,59067,200772,0.1586,0.1035,3,1,2,0,2,0,0,0,0,0,0,0,0,0
City Of Tanauan,Batangas,IV - A,Region IV-A (CALABARZON),city,41031000,0,2nd,10716,14.083333,121.15,81029,152393,0.1349,0.0586,28,0,24,0,24,0,0,4,0,0,0,0,0,0
City Of Tandag ,Surigao Del Sur,CARAGA,Region XIII (Caraga),city,166819000,1,5th,29173,9.1011711,126.1588771,30793,52114,0.3683,0.1604,11,1,9,0,9,0,0,1,0,0,0,0,0,0
City Of Tanjay,Negros Oriental,VII,Region VII (Central Visayas),city,74621000,0,4th,27605,9.516667,123.158333,39493,79098,0.2921,0.2272,6,1,3,0,3,1,1,0,0,0,0,0,0,0
City Of Tarlac ,Tarlac,III,Region III (Central Luzon),city,36916000,1,1st,27466,15.4754786,120.5963492,142599,318332,0.1259,0.085,50,1,44,1,45,1,2,1,0,0,0,0,0,0
City Of Tayabas,Quezon,IV - A,Region IV-A (CALABARZON),city,45647000,0,6th,23095,14.0363869,121.6532692,43116,91428,0.2727,0.0955,8,2,6,0,6,0,0,0,0,0,0,0,0,0
City Of Urdaneta,Pangasinan,I,Region I (Ilocos Region),city,15546000,0,2nd,10026,15.9758027,120.5706933,71725,125451,0.16,0.1021,33,0,30,0,30,1,2,0,0,0,0,0,0,0
City Of Valencia,Bukidnon,X,Region X (Northern Mindanao),city,101321000,0,2nd,58729,7.9,125.083333,96913,181556,0.4445,0.3482,25,0,21,0,21,0,4,0,0,0,0,0,0,0
City Of Valenzuela,Metro Manila,NCR,National Capital Region,city,137504000,0,1st,4702,14.7010556,120.9830225,259929,575356,0.044,0.0229,72,2,68,0,68,0,1,1,0,0,0,0,0,0
City Of Victorias,Negros Occidental,VI,Region VI (Western Visayas) ,city,64531000,0,4th,13392,10.9,123.083333,50819,88299,0.1858,0.156,6,0,6,0,6,0,0,0,0,0,0,0,0,0
Clarin,Bohol,VII,Region VII (Central Visayas),municipality,71214000,0,5th,5212,9.9567237,124.0577994,12356,20296,0.2882,0.2637,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Clarin,Misamis Occidental,X,Region X (Northern Mindanao),municipality,104205000,0,4th,8450,8.2053381,123.8012033,20887,35573,0.4641,0.3347,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Claver,Surigao Del Norte,CARAGA,Region XIII (Caraga),municipality,166706000,0,2nd,32260,9.566667,125.733333,15139,23702,0.6324,0.4137,4,0,2,0,2,0,1,1,0,0,0,0,0,0
Claveria,Cagayan,II,Region II (Cagayan Valley),municipality,21511000,0,3rd,19480,18.6014185,121.0911646,19230,30482,0.1684,0.1458,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Claveria,Masbate,V,Region V (Bicol Region),municipality,54107000,0,3rd,18298,12.9,123.25,20006,41572,0.6959,0.5236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claveria,Misamis Oriental,X,Region X (Northern Mindanao),municipality,104306000,0,1st,57963,8.61,124.883333,29594,44544,0.5038,0.3908,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Columbio,Sultan Kudarat,XII,Region XII (SOCCSKSARGEN),municipality,126502000,0,1st,92615,6.634899,125.0828588,18805,27440,0.5519,0.5467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compostela,Cebu,VII,Region VII (Central Visayas),municipality,72218000,0,3rd,5390,10.45,124,27006,42574,0.1825,0.182,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Compostela,Compostela Valley,XI,Region XI (Davao Region),municipality,118201000,0,1st,28700,7.6659683,126.084695,38362,81934,0.4098,0.2703,5,1,3,0,3,0,1,0,0,0,0,0,0,0
Concepcion,Iloilo,VI,Region VI (Western Visayas) ,municipality,63015000,0,3rd,8612,11.2147313,123.1044322,21010,39617,0.5713,0.368,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Concepcion,Misamis Occidental,X,Region X (Northern Mindanao),municipality,104206000,0,6th,6160,8.4046133,123.5951925,3050,7410,0.7236,0.7798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concepcion,Romblon,IV - B,Region IV-B (MIMAROPA),municipality,175905000,0,6th,1982,12.925,121.708333,2877,4445,0.4926,0.2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concepcion,Tarlac,III,Region III (Central Luzon),municipality,36905000,0,1st,24299,15.340141,120.6890055,70495,139832,0.1977,0.0673,8,0,7,0,7,0,0,1,0,0,0,0,0,0
Conner,Apayao,CAR,Cordillera Administrative Region (CAR) ,municipality,148102000,0,2nd,69430,17.8,121.333333,13678,24811,0.4044,0.5631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consolacion,Cebu,VII,Region VII (Central Visayas),municipality,72219000,0,1st,14720,10.4367842,123.9415518,55433,106649,0.0916,0.0928,10,0,9,0,9,0,0,1,0,0,0,0,0,0
Corcuera,Romblon,IV - B,Region IV-B (MIMAROPA),municipality,175906000,0,5th,2853,12.8,122.05,5974,9935,0.5754,0.4742,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordon,Isabela,II,Region II (Cagayan Valley),municipality,23109000,0,3rd,14400,16.666667,121.45,21883,40877,0.2376,0.1859,4,0,4,0,4,0,0,0,0,0,0,0,0,0
Cordova,Cebu,VII,Region VII (Central Visayas),municipality,72220000,0,3rd,1715,10.25,123.95,26102,50353,0.1203,0.1429,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Corella,Bohol,VII,Region VII (Central Visayas),municipality,71215000,0,5th,3722,9.683333,123.916667,4517,7699,0.1924,0.1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coron,Palawan,IV - B,Region IV-B (MIMAROPA),municipality,175309000,0,1st,68910,12.0772376,120.1884691,21811,42941,0.6008,0.2345,5,0,5,0,5,0,0,0,0,0,0,0,0,0
Cortes,Bohol,VII,Region VII (Central Visayas),municipality,71216000,0,5th,2732,9.716667,123.883333,9716,15294,0.1915,0.1588,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Cortes,Surigao Del Sur,CARAGA,Region XIII (Caraga),municipality,166808000,0,4th,12708,9.233333,126.166667,10529,15541,0.5778,0.2334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotabato City,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),city,129804000,0,3rd,17600,7.216667,124.25,131036,271786,0.4142,0.2971,19,0,18,0,18,1,0,0,0,0,0,0,0,0
Cuartero,Capiz,VI,Region VI (Western Visayas) ,municipality,61901000,0,4th,10658,11.3155974,122.740723,15979,25456,0.3643,0.3345,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cuenca,Batangas,IV - A,Region IV-A (CALABARZON),municipality,41009000,0,4th,5818,13.916667,121.044722,18947,31236,0.2091,0.0856,4,1,2,0,2,0,0,1,0,0,0,0,0,0
Culaba,Biliran,VIII,Region VIII (Eastern Visayas),municipality,87805000,0,5th,7342,11.65,124.533333,7894,12252,0.4187,0.3172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culasi,Antique,VI,Region VI (Western Visayas) ,municipality,60606000,0,3rd,22856,11.416667,122.066667,21409,39086,0.3699,0.2206,4,0,2,1,3,0,1,0,0,0,0,0,0,0
Culion,Palawan,IV - B,Region IV-B (MIMAROPA),municipality,175322000,0,3rd,49959,11.835278,119.993333,10233,19543,0.5568,0.2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Currimao,Ilocos Norte,I,Region I (Ilocos Region),municipality,12808000,0,4th,3408,18.0029484,120.510106,8470,11970,0.2001,0.1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuyapo,Nueva Ecija,III,Region III (Central Luzon),municipality,34906000,0,1st,21573,15.783333,120.666667,38203,59396,0.2723,0.2131,3,1,1,0,1,0,0,1,0,0,0,0,0,0
Cuyo,Palawan,IV - B,Region IV-B (MIMAROPA),municipality,175310000,0,4th,8495,10.85,121.016667,11350,21847,0.4574,0.1384,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Daanbantayan,Cebu,VII,Region VII (Central Visayas),municipality,72221000,0,1st,9227,11.2464955,124.0173086,48654,74897,0.3938,0.2835,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Daet ,Camarines Norte,V,Region V (Bicol Region),municipality,51603000,1,1st,4600,14.116667,122.95,45718,95572,0.3056,0.114,20,0,16,1,17,0,3,0,0,0,0,0,0,0
Dagami,Leyte,VIII,Region VIII (Eastern Visayas),municipality,83717000,0,3rd,16165,11.061111,124.903056,20580,31490,0.4365,0.4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dagohoy,Bohol,VII,Region VII (Central Visayas),municipality,71217000,0,5th,7759,9.8996343,124.2844697,10186,18868,0.3817,0.4067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daguioman,Abra,CAR,Cordillera Administrative Region (CAR) ,municipality,140105000,0,5th,11437,17.45,120.916667,1310,1715,0.4097,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dagupan City,Pangasinan,I,Region I (Ilocos Region),city,15518000,0,2nd,3723,16.0432998,120.3333124,90499,163676,0.1082,0.0842,60,2,53,0,53,1,4,0,0,0,0,0,0,0
Dalaguete,Cebu,VII,Region VII (Central Visayas),municipality,72222000,0,1st,15496,9.766667,123.533333,34548,63239,0.3268,0.4232,3,1,2,0,2,0,0,0,0,0,0,0,0,0
Damulog,Bukidnon,X,Region X (Northern Mindanao),municipality,101302000,0,4th,24419,7.484,124.943,14002,25538,0.6029,0.6404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danao,Bohol,VII,Region VII (Central Visayas),municipality,71218000,0,4th,16276,9.9474185,124.2202732,10069,17952,0.5721,0.4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danao City,Cebu,VII,Region VII (Central Visayas),city,72223000,0,3rd,10730,10.5417498,123.9527031,77614,119252,0.1589,0.1661,8,0,7,0,7,0,1,0,0,0,0,0,0,0
Dangcagan,Bukidnon,X,Region X (Northern Mindanao),municipality,101303000,0,3rd,42269,7.616667,125,16305,22448,0.4851,0.3967,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Danglas,Abra,CAR,Cordillera Administrative Region (CAR) ,municipality,140106000,0,5th,15602,17.7,120.65,3387,4734,0.4956,0.3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dao,Capiz,VI,Region VI (Western Visayas) ,municipality,61902000,0,4th,8864,11.4,122.683333,19326,31911,0.3395,0.2822,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Dapa,Surigao Del Norte,CARAGA,Region XIII (Caraga),municipality,166707000,0,4th,9190,9.766667,126.05,15122,23492,0.6321,0.4349,5,0,3,0,3,0,2,0,0,0,0,0,0,0
Dapitan City,Zamboanga Del Norte,IX,Region IX (Zamboanga Peninsula),city,97201000,0,3rd,39053,8.6253193,123.3945709,43747,77441,0.3755,0.3829,4,1,3,0,3,0,0,0,0,0,0,0,0,0
Daraga (Locsin),Albay,V,Region V (Bicol Region),municipality,50503000,0,1st,11864,13.1485244,123.7113323,62782,115804,0.1346,0.1788,12,1,7,0,7,0,2,2,0,0,0,0,0,0
Daram,Western Samar,VIII,Region VIII (Eastern Visayas),municipality,86006000,0,3rd,14026,11.633333,124.783333,23088,41322,0.7796,0.5269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasol,Pangasinan,I,Region I (Ilocos Region),municipality,15519000,0,3rd,16660,15.989722,119.880556,17174,26991,0.2892,0.1795,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Datu Abdullah Sangki,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153828000,0,-,22000,6.831111,124.507222,11326,17079,0.3901,0.686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datu Anggal Midtimbang,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153831000,0,-,8543,6.933333,124.333333,10675,13339,0.586,0.7479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datu Blah T. Sinsuat,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153830000,0,1st,14721,6.922778,123.968333,10726,16533,0,0.6681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datu Hoffer Ampatuan,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153835000,0,-,46110,6.734193,124.400183,14024,16295,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datu Odin Sinsuat (Dinaig),Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153807000,0,-,46180,7.185006,124.1840485,48964,76332,0.3906,0.6204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datu Paglas,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153805000,0,4th,13210,6.766944,124.85,15360,20290,0.4676,0.7637,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Datu Piang,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153806000,0,2nd,30297,7.0178051,124.4974405,19869,28492,0.461,0.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datu Salibo,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153836000,0,-,15062,6.927085,124.415116,9966,15062,0,0.7417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datu Saudi-Ampatuan,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153826000,0,4th,6016,6.957222,124.444444,12919,20330,0.461,0.8296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Datu Unsay,Maguindanao,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153827000,0,5th,9539,6.920833,124.453333,19169,12490,0.4918,0.7091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dauin,Negros Oriental,VII,Region VII (Central Visayas),municipality,74609000,0,4th,11410,9.2,123.266667,16724,25239,0.3694,0.2888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dauis,Bohol,VII,Region VII (Central Visayas),municipality,71219000,0,4th,4333,9.6074028,123.8233901,21399,39448,0.1352,0.1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davao City,Davao Del Sur,XI,Region XI (Davao Region),city,112402000,0,1st,244361,7.190708,125.455341,797214,1449296,0.1494,0.1056,237,2,199,3,202,10,12,11,0,0,0,0,0,0
Del Carmen,Surigao Del Norte,CARAGA,Region XIII (Caraga),municipality,166708000,0,5th,15168,9.869,125.97,10760,17136,0.6724,0.4116,2,0,0,0,0,0,1,1,0,0,0,0,0,0
Del Gallego,Camarines Sur,V,Region V (Bicol Region),municipality,51712000,0,4th,20831,13.916667,122.6,12177,23064,0.5005,0.3749,2,0,1,0,1,0,0,1,0,0,0,0,0,0
Delfin Albano (Magsaysay),Isabela,II,Region II (Cagayan Valley),municipality,23118000,0,4th,18900,17.316467,121.773068,17793,25422,0.2927,0.1632,2,0,1,0,1,0,1,0,0,0,0,0,0,0
Diadi,Nueva Viscaya,II,Region II (Cagayan Valley),municipality,25006000,0,4th,18120,16.633333,121.35,9709,16484,0.279,0.1652,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Diffun,Quirino,II,Region II (Cagayan Valley),municipality,25703000,0,2nd,32010,16.6,121.466667,26346,48501,0.3223,0.1576,3,0,3,0,3,0,0,0,0,0,0,0,0,0
Dilasag,Aurora,III,Region III (Central Luzon),municipality,37703000,0,3rd,30625,16.4374658,122.151897,8120,15683,0.2372,0.1394,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Dimasalang,Masbate,V,Region V (Bicol Region),municipality,54108000,0,4th,14807,12.183333,123.866667,14279,25245,0.59,0.4917,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Dimataling,Zamboanga Del Sur,IX,Region IX (Zamboanga Peninsula),municipality,97305000,0,4th,14180,7.5111272,123.3466134,19556,27715,0.5504,0.4989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimiao,Bohol,VII,Region VII (Central Visayas),municipality,71220000,0,4th,13575,9.616667,124.166667,9632,15166,0.2393,0.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinagat,Dinagat Islands,CARAGA,Region XIII (Caraga),municipality,168503000,0,5th,13994,9.95,125.616667,6325,12786,0.6476,0.4938,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinalungan,Aurora,III,Region III (Central Luzon),municipality,37704000,0,4th,31685,16.150936,121.8790306,6699,10988,0.1902,0.1381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinalupihan,Bataan,III,Region III (Central Luzon),municipality,30804000,0,1st,9252,14.8780629,120.4545801,53710,97275,0.1241,0.0573,11,1,8,0,8,1,1,0,0,0,0,0,0,0
Dinapigue,Isabela,II,Region II (Cagayan Valley),municipality,23110000,0,1st,57440,16.666667,122.35,3714,5484,0.2059,0.2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dinas,Zamboanga Del Sur,IX,Region IX (Zamboanga Peninsula),municipality,97306000,0,4th,12110,7.633333,123.3,15768,34768,0.6812,0.4823,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dingalan,Aurora,III,Region III (Central Luzon),municipality,37705000,0,3rd,30455,15.4000077,121.3780165,11852,23554,0.2278,0.1346,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dingle,Iloilo,VI,Region VI (Western Visayas) ,municipality,63016000,0,3rd,9837,11.05,122.666667,23360,43290,0.303,0.2175,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Dingras,Ilocos Norte,I,Region I (Ilocos Region),municipality,12809000,0,2nd,9600,18.116667,120.7,22911,37021,0.3523,0.1433,2,1,1,0,1,0,0,0,0,0,0,0,0,0
Dipaculao,Aurora,III,Region III (Central Luzon),municipality,37706000,0,3rd,36164,15.984298,121.6331088,14494,27729,0.1993,0.145,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Diplahan,Zamboanga Sibugay,IX,Region IX (Zamboanga Peninsula),municipality,98303000,0,3rd,25551,7.7485401,122.9663018,15056,31215,0.2752,0.3508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipolog City ,Zamboanga Del Norte,IX,Region IX (Zamboanga Peninsula),city,97202000,1,3rd,24113,8.566667,123.333333,58615,120460,0.1617,0.4033,26,3,22,0,22,0,0,1,0,0,0,0,0,0
Ditsaan-Ramain,Lanao Del Sur,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153624000,0,3rd,52798,7.966667,124.35,15823,20208,0.3723,0.6704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divilacan,Isabela,II,Region II (Cagayan Valley),municipality,23111000,0,2nd,88949,17.333333,122.3,2701,5034,0.4805,0.4572,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Dolores,Abra,CAR,Cordillera Administrative Region (CAR) ,municipality,140107000,0,5th,4745,17.646667,120.710833,6607,11499,0.3899,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolores,Eastern Samar,VIII,Region VIII (Eastern Visayas),municipality,82606000,0,5th,30858,12.05,125.483333,20875,37912,0.3617,0.493,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dolores,Quezon,IV - A,Region IV-A (CALABARZON),municipality,45615000,0,4th,6260,14.0224626,121.4113308,17895,27702,0.2605,0.1374,2,1,0,1,1,0,0,0,0,0,0,0,0,0
Don Carlos,Bukidnon,X,Region X (Northern Mindanao),municipality,101304000,0,1st,21372,7.683333,125,37506,64334,0.4039,0.3758,3,0,2,0,2,0,1,0,0,0,0,0,0,0
Don Marcelino,Davao Occidental,XI,Region XI (Davao Region),municipality,118601000,0,3rd,40730,6.266667,125.666667,21719,41942,0.8075,0.7382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Victoriano Chiongbian (Don Mariano Marcos),Misamis Occidental,X,Region X (Northern Mindanao),municipality,104217000,0,4th,28460,8.3374903,123.7070619,5023,9774,0.7199,0.6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doña Remedios Trinidad,Bulacan,III,Region III (Central Luzon),municipality,31424000,0,1st,93296,15,121.083333,14065,19878,0.5158,0.246,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Donsol,Sorsogon,V,Region V (Bicol Region),municipality,56207000,0,3rd,15620,12.916667,123.6,23150,47563,0.6873,0.4413,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dueñas,Iloilo,VI,Region VI (Western Visayas) ,municipality,63017000,0,4th,9052,11.066667,122.616667,18383,33671,0.4223,0.2529,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Duero,Bohol,VII,Region VII (Central Visayas),municipality,71221000,0,4th,9730,9.716667,124.4,11148,17580,0.2941,0.2961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dulag,Leyte,VIII,Region VIII (Eastern Visayas),municipality,83718000,0,3rd,11070,10.95,125.033333,24831,41757,0.4356,0.3357,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Dumaguete City ,Negros Oriental,VII,Region VII (Central Visayas),city,74610000,1,3rd,3362,9.3068402,123.3054467,66214,120883,0.0813,0.0651,46,6,39,0,39,0,1,0,0,0,0,0,0,0
Dumalag,Capiz,VI,Region VI (Western Visayas) ,municipality,61903000,0,4th,10918,11.3,122.616667,19741,29298,0.315,0.2469,2,0,1,0,1,0,0,1,0,0,0,0,0,0
Dumalinao,Zamboanga Del Sur,IX,Region IX (Zamboanga Peninsula),municipality,97307000,0,4th,11764,7.816667,123.366667,18385,30691,0.5954,0.3437,2,0,1,0,1,0,1,0,0,0,0,0,0,0
Dumalneg,Ilocos Norte,I,Region I (Ilocos Region),municipality,12810000,0,5th,8848,18.5,120.816667,1077,1814,0.3074,0.1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumangas,Iloilo,VI,Region VI (Western Visayas) ,municipality,63018000,0,1st,12870,10.833333,122.716667,39047,66108,0.2977,0.2135,3,1,1,0,1,0,0,1,0,0,0,0,0,0
Dumanjug,Cebu,VII,Region VII (Central Visayas),municipality,72224000,0,3rd,8553,10.05,123.433333,31289,46754,0.4379,0.3318,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Dumaran,Palawan,IV - B,Region IV-B (MIMAROPA),municipality,175311000,0,3rd,43500,10.533333,119.766667,11855,21397,0.705,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumarao,Capiz,VI,Region VI (Western Visayas) ,municipality,61904000,0,2nd,23256,11.266667,122.683333,24475,43986,0.3683,0.334,1,0,0,0,0,0,0,1,0,0,0,0,0,0
