citymuni,province,shortregion,longregion,citymuni.class,citymuni.code,citymuni.capital,citymuni.incomeclass,land.area,map.lat,map.lon,registered.voters.2010,population.2010,poverty.2003,poverty.2012,banks.total,banks.headoffice,banks.regbranch,banks.microbranch,banks.totalbranches,banks.extensionoffice,banks.regularobo,banks.microobo,banks.obosubbranch,banks.oboagency,banks.representativeoffice,banks.remittancedeskoffice,banks.limitedpurposebranch,banks.marketingoffice
Busuanga,Palawan,IV - B,Region IV-B (MIMAROPA),municipality,175307000,0,3rd,39290,12.166667,119.95,11144,21358,0.6667,0.3491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butig,Lanao Del Sur,ARMM,Autonomous Region in Muslim Mindanao (ARMM),municipality,153607000,0,6th,33149,7.716667,124.3,10761,16642,0.5509,0.5891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butuan City ,Agusan Del Norte,CARAGA,Region XIII (Caraga),city,160202000,1,1st,81662,8.9475377,125.5406234,154553,309709,0.292,0.1865,47,2,36,0,36,1,5,3,0,0,0,0,0,0
Buug,Zamboanga Sibugay,IX,Region IX (Zamboanga Peninsula),municipality,98302000,0,3rd,13406,7.733333,123.066667,25835,35969,0.3323,0.3583,4,0,3,0,3,0,1,0,0,0,0,0,0,0
Caba,La Union,I,Region I (Ilocos Region),municipality,13309000,0,4th,4631,16.433333,120.35,13494,21244,0.2619,0.1207,2,1,0,0,0,0,1,0,0,0,0,0,0,0
Cabagan,Isabela,II,Region II (Cagayan Valley),municipality,23106000,0,1st,43040,17.433333,121.766667,23187,45732,0.3809,0.1931,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Cabanatuan City,Nueva Ecija,III,Region III (Central Luzon),city,34903000,0,1st,28275,15.4865047,120.973393,191831,272676,0.1001,0.106,57,4,50,0,50,1,2,0,0,0,0,0,0,0
Cabangan,Zambales,III,Region III (Central Luzon),municipality,37102000,0,4th,17529,15.1580579,120.0552506,13367,23082,0.1672,0.1727,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cabanglasan,Bukidnon,X,Region X (Northern Mindanao),municipality,101322000,0,3rd,24330,8.066667,125.316667,17234,32427,0.5813,0.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabarroguis ,Quirino,II,Region II (Cagayan Valley),municipality,25702000,1,3rd,26020,16.4199058,121.5141615,18311,29395,0.2048,0.1519,4,0,4,0,4,0,0,0,0,0,0,0,0,0
Cabatuan,Iloilo,VI,Region VI (Western Visayas) ,municipality,63012000,0,2nd,11290,10.883333,122.483333,26537,54950,0.3108,0.1586,4,1,1,0,1,0,0,2,0,0,0,0,0,0
Cabatuan,Isabela,II,Region II (Cagayan Valley),municipality,23107000,0,3rd,7200,16.958889,121.669167,19400,37299,0.1221,0.1415,3,0,3,0,3,0,0,0,0,0,0,0,0,0
Cabiao,Nueva Ecija,III,Region III (Central Luzon),municipality,34904000,0,1st,11183,15.25,120.85,42222,72081,0.1794,0.1522,4,1,3,0,3,0,0,0,0,0,0,0,0,0
Cabucgayan,Biliran,VIII,Region VIII (Eastern Visayas),municipality,87803000,0,5th,5419,11.483333,124.566667,12344,19621,0.4138,0.3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabugao,Ilocos Sur,I,Region I (Ilocos Region),municipality,12905000,0,1st,9556,17.791812,120.4540193,22230,35706,0.2584,0.233,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cabusao,Camarines Sur,V,Region V (Bicol Region),municipality,51707000,0,5th,4680,13.716667,123.1,10378,18049,0.5786,0.3359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cabuyao City,Laguna,IV - A,Region IV-A (CALABARZON),city,43404000,0,-,4330,14.278333,121.124722,96287,248436,0.0328,0.1103,24,1,19,0,19,0,1,3,0,0,0,0,0,0
